DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
1601175902;Withdrawn;ALIMENTATION COUCHE-TARD INC.;ATD-B.TO;2010-06-02;2010-07-22;^GSPTSE
1601176953;Withdrawn;PAN AFRICAN RESOURCES PLC;PAF.L;2012-01-30;2012-05-30;^FTSE
1601181898;Withdrawn;TRIMBLE NAVIGATION LTD;TRMB;2010-04-27;2010-07-02;^IXIC
1601186843;Withdrawn;INDUSTRIAS ROMI SA;ROMI3.SA;2010-05-10;2010-07-15;^BVSP
1601197999;Withdrawn;BW OFFSHORE LTD;BWO.OL;2010-07-27;2010-09-15;^STOXX50E
1601205103;Withdrawn;ALIMENTATION COUCHE-TARD INC.;ATD-B.TO;2010-07-22;2010-09-01;^GSPTSE
1601214126;Withdrawn;ALIMENTATION COUCHE-TARD INC.;ATD-B.TO;2010-09-01;2010-09-30;^GSPTSE
1601216494;Withdrawn;WILLIAM DEMANT HOLDING A/S;WDH.CO;2010-09-13;2010-10-06;^OMXC20
1601217270;Withdrawn;PROCTER & GAMBLE COMPANY;PG;2010-09-16;2010-10-17;^DJI
1601218339;Withdrawn;CARMANAH TECHNOLOGIES CORPORATION;CMH.TO;2010-09-21;2010-11-10;^GSPTSE
1601227114;Withdrawn;ARCELORMITTAL SA;MT.AS;2010-11-08;2010-12-18;^AEX
1601228872;Withdrawn;GREENCORE GROUP PLC;GNC.L;2010-11-17;2011-03-09;^FTSE
1601233476;Withdrawn;CHARLES STREET CAPITAL PLC;FAM.L;2010-12-13;2011-03-01;^FTSE
1601234740;Withdrawn;ARCELORMITTAL SA;MT.AS;2010-12-18;2011-01-14;^AEX
1601242036;Withdrawn;CLEAN HARBORS INC.;CLH;2011-01-26;2011-04-26;^NY
1601257793;Withdrawn;TESTA INMUEBLES EN RENTA SA;TST.MC;2011-04-29;2011-05-24;^IBEX
1601274862;Withdrawn;DHT HOLDINGS INC.;DHT;2011-07-05;2011-08-05;^NY
1601288122;Withdrawn;VALIDUS HOLDINGS LTD;VR;2011-07-25;2011-11-03;^NY
1601305571;Withdrawn;PROSPERITY INTERNATIONAL HOLDINGS (HK) LTD;0803.HK;2011-09-05;2011-09-30;^HSI
1601309805;Withdrawn;GLAXOSMITHKLINE PLC;GSK.L;2012-05-10;2012-07-16;^FTSE
1601313793;Withdrawn;VALIDUS HOLDINGS LTD;VR;2011-11-03;2011-11-28;^NY
1601314508;Withdrawn;TOYOTA INDUSTRIES CORPORATION;TM;2011-11-08;2012-02-21;^N225
1601329444;Withdrawn;MYRIAD GROUP AG;MYRN.SW;2012-01-31;2012-03-07;^FCHI
1601342374;Withdrawn;MERCER INTERNATIONAL INC.;MERC;2012-02-10;2012-04-11;^IXIC
1601358790;Withdrawn;TKH GROUP NV;TWEKA.AS;2012-04-03;2012-04-25;^AMX
1601359572;Withdrawn;COBHAM PLC;COB.L;2012-04-10;2012-05-03;^FTSE
1601361347;Withdrawn;GREENTECH ENERGY SYSTEMS A/S;GES.CO;2012-04-13;2012-08-01;^OMXC20
1601365975;Withdrawn;ATHOL GOLD AND VALUE LTD;MAFL.L;2012-05-01;2012-06-19;^FTSE
1601376207;Withdrawn;SAAB AB;SAAB-B.ST;2012-08-06;2012-08-27;^STOXX50E
1601390428;Withdrawn;NOVOGEN LTD;NRT.AX;2012-07-27;2012-09-25;^AXJO
1601400536;Withdrawn;QATAR INTERNATIONAL ISLAMIC BANK QSC;QIIK.QA;2012-09-06;2012-10-15;^GSPC
1601422704;Withdrawn;CCL INDUSTRIES INC.;CCL-B.TO;2012-11-20;2013-01-29;^GSPTSE
1601447637;Withdrawn;REGENT PACIFIC GROUP LTD;0575.HK;2013-02-15;2013-03-22;^HSI
